Sample	posterior	treeLikelihood	birthDeath	clockRate
10000000	-13735.54475928292	-13647.763273640223	-87.78148564269777	0.0016649797966441999
10050000	-13748.118728261397	-13649.355549048578	-98.76317921282025	8.087536233396573E-4
10100000	-13740.570530319555	-13648.29172394926	-92.27880637029492	0.0011231797021264212
10150000	-13743.140017519707	-13645.906535520682	-97.23348199902541	8.779443623403515E-4
10200000	-13733.535173993347	-13639.086979936274	-94.44819405707398	0.001018807765400873
10250000	-13740.312377460265	-13638.805246886457	-101.5071305738066	6.841923181309992E-4
10300000	-13735.269728796586	-13646.715032434264	-88.55469636232102	0.0014304361590850238
10350000	-13736.81418586373	-13645.044440312786	-91.76974555094367	0.0012367077513982686
10400000	-13736.305528234838	-13638.435954412651	-97.8695738221871	8.673016332831282E-4
10450000	-13740.026219122763	-13644.15057400894	-95.87564511382311	8.876819500202252E-4
10500000	-13739.954636929919	-13646.098941001897	-93.85569592802196	0.0010220622421495454
10550000	-13741.053743638226	-13645.138760868418	-95.91498276980836	9.357406741072548E-4
10600000	-13735.09069264091	-13638.117544566983	-96.97314807392695	8.67450489465547E-4
10650000	-13751.709640042493	-13645.070632573406	-106.63900746908652	5.821992939582761E-4
10700000	-13739.374508047016	-13642.112652223777	-97.2618558232389	8.762693595215798E-4
10750000	-13733.528484548755	-13640.73780638665	-92.79067816210477	0.001136048560036349
10800000	-13754.547372006005	-13643.11186727139	-111.43550473461663	4.778806954831155E-4
10850000	-13756.91488250908	-13643.746131982462	-113.16875052661759	4.291599434358554E-4
10900000	-13736.061365523972	-13641.274237482432	-94.78712804153952	9.615627251049689E-4
10950000	-13734.183970979047	-13645.043850841254	-89.14012013779356	0.0014950183479145276
11000000	-13737.278466835322	-13641.986691613592	-95.29177522172833	9.44211351554336E-4
11050000	-13740.684340073192	-13643.794629045291	-96.88971102790079	8.640307392166695E-4
11100000	-13739.27148224788	-13638.686463092894	-100.58501915498569	7.093126756759258E-4
11150000	-13737.546236445369	-13643.881766097118	-93.66447034825116	9.991482106292593E-4
11200000	-13745.957549295972	-13641.899106283958	-104.05844301201518	6.204661428607721E-4
11250000	-13740.465566373137	-13648.313544556218	-92.15202181691805	0.0011475374432627454
11300000	-13739.899501167836	-13643.892444014691	-96.00705715314473	9.488943368934398E-4
11350000	-13730.148978756944	-13639.417048936984	-90.73192981995928	0.0012941491444695905
11400000	-13736.97135036962	-13642.370631330159	-94.60071903946113	0.0010399000712241332
11450000	-13741.753523405456	-13648.088572176342	-93.66495122911286	0.0011163288131041576
11500000	-13737.586689132486	-13639.435635647249	-98.15105348523639	7.951436015262473E-4
11550000	-13747.17628999354	-13643.433502879527	-103.74278711401433	6.453340020958627E-4
11600000	-13730.948756087506	-13644.057184446401	-86.89157164110536	0.0017421988159194775
11650000	-13740.360102971426	-13640.895519800304	-99.46458317112275	7.824329940803438E-4
11700000	-13736.07846612563	-13641.430428048094	-94.64803807753559	0.00101105016779854
11750000	-13742.258156332531	-13642.230397466868	-100.02775886566351	7.474861866011404E-4
11800000	-13727.756586303585	-13639.038725248289	-88.71786105529686	0.0015510335974629496
11850000	-13748.02714473396	-13645.470621340377	-102.5565233935828	6.678347272087114E-4
11900000	-13745.437964578145	-13646.852885679185	-98.58507889895863	7.982690949476051E-4
11950000	-13740.07587036171	-13641.841785387494	-98.23408497421667	8.161913814038472E-4
12000000	-13740.635562851641	-13645.060153231036	-95.57540962060517	9.297760789070143E-4
12050000	-13737.945684244492	-13641.30986456474	-96.63581967975252	8.898426027300697E-4
12100000	-13738.488838643647	-13643.49237766115	-94.99646098249701	9.917248261026447E-4
12150000	-13737.9084319671	-13647.811308357208	-90.0971236098916	0.0014844684979999025
12200000	-13743.872413404173	-13646.122585551617	-97.74982785255706	8.394166663220097E-4
12250000	-13740.68616752798	-13647.445929753987	-93.24023777399185	0.0010398012457097858
12300000	-13735.150273684741	-13639.718826930086	-95.4314467546553	9.247444207077841E-4
12350000	-13740.136089532616	-13640.85012877823	-99.28596075438779	7.628794337910457E-4
12400000	-13739.235975140242	-13641.208638158996	-98.02733698124496	8.405414363709553E-4
12450000	-13736.885056840254	-13643.360280491179	-93.5247763490745	0.0010259480630306996
12500000	-13748.56008984663	-13653.804313117647	-94.75577672898166	9.944263840364863E-4
12550000	-13757.677289897229	-13655.052970697858	-102.62431919937025	6.883504604492137E-4
12600000	-13746.388048846404	-13645.425090389006	-100.96295845739695	7.043588657797453E-4
12650000	-13748.150698627114	-13648.37430979867	-99.77638882844462	7.152343078542992E-4
12700000	-13740.746168368016	-13643.393631700314	-97.35253666770296	8.204133115237945E-4
12750000	-13737.6513833173	-13642.384977372265	-95.26640594503431	9.391720277775395E-4
12800000	-13739.453890458213	-13644.415451132782	-95.03843932543218	0.0010044576130137156
12850000	-13750.001626379631	-13652.052358171091	-97.9492682085402	7.91858474005063E-4
12900000	-13733.943012411424	-13642.13148386385	-91.81152854757472	0.001157810848190408
12950000	-13748.641229362804	-13646.919669805597	-101.72155955720632	7.145286110856273E-4
13000000	-13740.374557391398	-13642.949234160016	-97.42532323138248	8.350936344059376E-4
13050000	-13741.599573435306	-13642.303803508586	-99.29576992671844	7.756001155467463E-4
13100000	-13747.363571751685	-13646.036225258524	-101.32734649316004	6.846482800957249E-4
13150000	-13738.99270232297	-13643.811341611305	-95.18136071166494	9.193910875090301E-4
13200000	-13732.854003103568	-13640.589566435008	-92.26443666855917	0.00117624863992032
13250000	-13734.346853155837	-13642.603039773207	-91.74381338263115	0.0012125755908996196
13300000	-13739.993001311988	-13643.627857616972	-96.36514369501668	9.064604340482938E-4
13350000	-13736.878391020387	-13643.958185849007	-92.92020517137978	0.0010682064293314098
13400000	-13753.998562065697	-13654.262308412746	-99.73625365295075	7.054088210810756E-4
13450000	-13739.701898140778	-13642.301078028215	-97.40082011256348	8.386631347131849E-4
13500000	-13741.157973402966	-13643.832483118373	-97.32549028459377	8.285499946690415E-4
13550000	-13741.434057297907	-13641.966257930575	-99.46779936733228	7.613752686683258E-4
13600000	-13741.236335178673	-13640.794067062821	-100.44226811585224	7.259541038469118E-4
13650000	-13732.680413624003	-13642.654347019792	-90.02606660420984	0.0013687862749545573
13700000	-13734.350936482795	-13642.711266697059	-91.63966978573568	0.0012131227787391603
13750000	-13753.388362604392	-13649.480078800001	-103.90828380439113	5.819534031643356E-4
13800000	-13739.129757119614	-13642.449520877675	-96.6802362419376	8.891221169937553E-4
13850000	-13747.369927043508	-13641.4316901196	-105.93823692390846	5.722711793048904E-4
13900000	-13742.757777685278	-13639.319918672103	-103.43785901317486	6.177410364641459E-4
13950000	-13739.716198617396	-13641.851103207175	-97.86509541022049	8.062886101423642E-4
14000000	-13735.115443678615	-13641.182159422202	-93.93328425641327	0.0010929747274679121
14050000	-13746.573946169236	-13641.94313976092	-104.63080640831429	5.887510347064763E-4
14100000	-13731.69376189449	-13639.66340430173	-92.03035759276051	0.0011671699177366987
14150000	-13746.595527036776	-13641.901505900529	-104.69402113624629	6.04102088543251E-4
14200000	-13732.818195407077	-13644.663068554331	-88.15512685274584	0.0015792481540392118
14250000	-13741.412614816945	-13642.841669244383	-98.57094557256319	7.961286147042398E-4
14300000	-13729.620150694134	-13638.605807342336	-91.01434335179925	0.0012559334904658362
14350000	-13735.419406932087	-13643.380176024408	-92.03923090767961	0.0011965016284328767
14400000	-13743.167508636481	-13642.212527652173	-100.95498098430842	7.102500886037397E-4
14450000	-13727.865762737532	-13638.947325447427	-88.91843729010503	0.001473386076806562
14500000	-13741.104813823426	-13639.799718980245	-101.3050948431805	7.09999113344406E-4
14550000	-13738.468187151782	-13639.287634679682	-99.18055247209952	7.886002660683391E-4
14600000	-13745.956287985357	-13645.939176368902	-100.01711161645483	7.616970856326259E-4
14650000	-13730.78896523273	-13639.69487627905	-91.09408895367967	0.0012605347963193687
14700000	-13738.635456969509	-13640.62808571306	-98.00737125644864	8.702211561707754E-4
14750000	-13746.552780604932	-13642.697658979194	-103.85512162573797	6.1352824399797E-4
14800000	-13740.722002599861	-13647.619715610022	-93.10228698983966	0.0011448885300819546
14850000	-13738.277139729642	-13650.978639464201	-87.29850026543954	0.0015985433163828312
14900000	-13732.415843430665	-13641.634797811505	-90.78104561916007	0.0013130739604515428
